step,layer,head,avg_q_fanin,mask_entropy,conditional_mask_entropy_token,unique_masks,top1_coverage,top4_coverage,fanin_1_ratio,fanin_2_ratio,fanin_3_ratio,fanin_4_ratio,usage_current,usage_previous,usage_earlier,usage_anchor,probability_current,probability_previous,probability_earlier,probability_anchor
0,0,0,1.998046875,0.014135444536805153,0.007945240125991404,2,0.998046875,1.0,0.001953125,0.998046875,0.0,0.0,1.0,0.0,0.0,0.998046875,0.5410557985305786,0.0,0.0,0.4589442014694214
0,0,1,2.0,-0.0,0.0,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4781269431114197,0.0,0.0,0.5218731164932251
0,0,2,1.99609375,0.02555946074426174,0.014611979015171528,2,0.99609375,1.0,0.00390625,0.99609375,0.0,0.0,1.0,0.0,0.0,0.99609375,0.4773467183113098,0.0,0.0,0.5226532220840454
0,0,3,2.0,-0.0,0.0,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4959906041622162,0.0,0.0,0.5040093660354614
0,1,0,1.998046875,0.014135444536805153,0.008691299706697464,2,0.998046875,1.0,0.001953125,0.998046875,0.0,0.0,1.0,0.0,0.0,0.998046875,0.5470859408378601,0.0,0.0,0.4529140293598175
0,1,1,2.0,-0.0,0.0,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.47648730874061584,0.0,0.0,0.5235126614570618
0,1,2,2.0,-0.0,0.0,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5946129560470581,0.0,0.0,0.4053870439529419
0,1,3,2.0,-0.0,0.0,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4836149513721466,0.0,0.0,0.5163850784301758
0,2,0,2.943359375,0.2692161798477173,0.16087561074527912,4,0.943359375,1.0,0.0,0.056640625,0.943359375,0.0,0.982421875,0.994140625,0.0,0.966796875,0.3159046471118927,0.3600628972053528,0.0,0.3240325152873993
0,2,1,2.85546875,0.5569870471954346,0.3166214155498892,4,0.85546875,1.0,0.0,0.14453125,0.85546875,0.0,0.98046875,0.9375,0.0,0.9375,0.3959599733352661,0.30501821637153625,0.0,0.29902184009552
0,2,2,2.92578125,0.3410498797893524,0.20657091497560032,4,0.92578125,1.0,0.0,0.07421875,0.92578125,0.0,0.96484375,0.974609375,0.0,0.986328125,0.3552858233451843,0.2977904677391052,0.0,0.34692367911338806
0,2,3,2.947265625,0.2542197108268738,0.10252257036336232,4,0.947265625,1.0,0.0,0.052734375,0.947265625,0.0,0.9765625,0.974609375,0.0,0.99609375,0.33292877674102783,0.36760640144348145,0.0,0.2994648814201355
0,3,0,3.615234375,1.1957781314849854,0.7689246941590682,9,0.63671875,0.939453125,0.0,0.021484375,0.341796875,0.63671875,0.849609375,0.9453125,0.8671875,0.953125,0.21479929983615875,0.2681938409805298,0.22087165713310242,0.2961352467536926
0,3,1,3.55078125,1.3326191902160645,0.8682515842374414,9,0.572265625,0.916015625,0.0,0.021484375,0.40625,0.572265625,0.935546875,0.826171875,0.888671875,0.900390625,0.2834168076515198,0.17183613777160645,0.2753351032733917,0.26941198110580444
0,3,2,3.599609375,1.2212921380996704,0.8279888202669099,9,0.623046875,0.93359375,0.0,0.0234375,0.353515625,0.623046875,0.826171875,0.9453125,0.943359375,0.884765625,0.20057404041290283,0.3150237798690796,0.2702152729034424,0.21418693661689758
0,3,3,3.712890625,0.9924746751785278,0.5789474250632338,8,0.720703125,0.953125,0.0,0.0078125,0.271484375,0.720703125,0.9296875,0.94140625,0.95703125,0.884765625,0.26023945212364197,0.2433137148618698,0.28518277406692505,0.21126402914524078
100,0,0,1.998046875,0.014135444536805153,0.007651656866073608,2,0.998046875,1.0,0.001953125,0.998046875,0.0,0.0,1.0,0.0,0.0,0.998046875,0.5379587411880493,0.0,0.0,0.4620412588119507
100,0,1,2.0,-0.0,0.0,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4688073694705963,0.0,0.0,0.5311926603317261
100,0,2,2.0,-0.0,0.0,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4779207706451416,0.0,0.0,0.5220792293548584
100,0,3,2.0,-0.0,0.0,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.49145370721817017,0.0,0.0,0.5085462927818298
100,1,0,1.603515625,0.9105311036109924,0.3392394549155142,3,0.603515625,1.0,0.396484375,0.603515625,0.0,0.0,0.71875,0.0,0.0,0.884765625,0.3545912504196167,0.0,0.0,0.6454087495803833
100,1,1,1.626953125,0.8570693731307983,0.20218150492291898,3,0.626953125,1.0,0.373046875,0.626953125,0.0,0.0,0.708984375,0.0,0.0,0.91796875,0.28640034794807434,0.0,0.0,0.7135996222496033
100,1,2,1.419921875,1.0452994108200073,0.14816550083924085,3,0.419921875,1.0,0.580078125,0.419921875,0.0,0.0,0.607421875,0.0,0.0,0.8125,0.33424320816993713,0.0,0.0,0.6657568216323853
100,1,3,1.6953125,0.7693914175033569,0.15857841214165092,3,0.6953125,1.0,0.3046875,0.6953125,0.0,0.0,0.7578125,0.0,0.0,0.9375,0.3346717953681946,0.0,0.0,0.6653282046318054
100,2,0,2.248046875,1.3821382522583008,0.2027626300114207,6,0.3671875,0.94921875,0.119140625,0.513671875,0.3671875,0.0,0.51953125,0.833984375,0.0,0.89453125,0.16812315583229065,0.20812681317329407,0.0,0.6237500309944153
