layer,head,unique_masks,top1_coverage,top4_coverage,mask_entropy,conditional_mask_entropy_token,mask_token_mutual_information,most_common_mask_id
0,0,3,0.5147705078125,1.0,1.0081178194418394,0.3008945724818556,0.7072232469599838,1
0,1,3,0.4947509765625,1.0,1.0206910913065776,0.1640129525433144,0.8566781387632633,8
0,2,3,0.44580078125,1.0,1.0506024504383373,0.22738739513300618,0.8232150553053311,8
0,3,3,0.5008544921875,1.0,1.0103488119505357,0.3978084274867431,0.6125403844637927,8
1,0,3,0.5172119140625,1.0,1.0248345844603488,0.14746710510188257,0.8773674793584663,9
1,1,3,0.4844970703125,1.0,0.9854977538823606,0.2723600348943442,0.7131377189880164,9
1,2,3,0.5029296875,1.0,1.0358133845478927,0.1181575257619364,0.9176558587859563,9
1,3,3,0.4501953125,1.0,1.0611147900717133,0.2279584314582278,0.8331563586134855,8
2,0,7,0.410888671875,0.9508056640625,1.3719964215584817,0.36914934364755714,1.0028470779109244,11
2,1,7,0.346923828125,0.759033203125,1.7798672339459423,0.48180417952656834,1.2980630544193739,11
2,2,6,0.5157470703125,0.909423828125,1.388552822048431,0.3469599444247452,1.0415928776236858,11
2,3,7,0.6263427734375,0.9765625,1.0844916657246189,0.26162009743525566,0.8228715682893633,11
3,0,10,0.742431640625,0.9796142578125,0.8181778229611354,0.1294009463212487,0.6887768766398867,15
3,1,12,0.7291259765625,0.9677734375,0.9800907989691539,0.21233900249741836,0.7677517964717355,15
3,2,11,0.718017578125,0.9586181640625,0.9927515285395733,0.22010635386307462,0.7726451746764986,15
3,3,12,0.7159423828125,0.9605712890625,0.9876947952731281,0.20819457690231571,0.7795002183708124,15
