threshold,avg_layers_per_token,generation_avg_layers_per_token,tokens_sec,ms_token,loss,perplexity,agreement_with_full_model,false_confident_exit_rate,layer_saving_ratio,early_exit_rate,full_path_rate,exit_rate_layer_2,exit_rate_layer_4,exit_rate_layer_6,exit_rate_layer_8,agreement_layer_2_vs_final,agreement_layer_4_vs_final,agreement_layer_6_vs_final,confidence_bin_0.5-0.6_agreement,confidence_bin_0.5-0.6_count,confidence_bin_0.6-0.7_agreement,confidence_bin_0.6-0.7_count,confidence_bin_0.7-0.8_agreement,confidence_bin_0.7-0.8_count,confidence_bin_0.8-0.9_agreement,confidence_bin_0.8-0.9_count,confidence_bin_0.9-1.0_agreement,confidence_bin_0.9-1.0_count
0.1,2.013245033112583,2.0,1990.5338562229047,0.5023777901962083,2.653286542324041,14.200633017688062,0.7019867549668874,0.2980132450331126,0.7483443708609272,1.0,0.0,0.9933774834437086,0.006622516556291391,0.0,0.0,0.7066666666666667,0.0,0.0,1.0,8,0.5,2,1.0,9,0.0,1,0.0,0
0.2,3.4701986754966887,3.4910714285714284,633.122332405186,1.5794735848300792,2.68119876432103,14.602587869182905,0.7947019867549668,0.25,0.5662251655629139,0.7682119205298014,0.23178807947019864,0.7417218543046358,0.013245033112582781,0.013245033112582781,0.23178807947019867,0.7410714285714286,1.0,1.0,1.0,8,0.5,2,1.0,9,0.0,1,0.0,0
0.3,5.377483443708609,5.169642857142857,624.9082427723081,1.6002349329937715,2.6290007395460115,13.859913316840833,0.8675496688741722,0.1506849315068493,0.32781456953642385,0.48344370860927155,0.5165562913907285,0.3841059602649007,0.059602649006622516,0.039735099337748346,0.5165562913907285,0.8103448275862069,1.0,1.0,1.0,8,0.5,2,1.0,9,0.0,1,0.0,0
0.4,6.582781456953643,6.5,634.3808951387049,1.576340031143835,2.6145010310293033,13.660398562086138,0.9602649006622517,0.05128205128205128,0.17715231788079466,0.2582781456953642,0.7417218543046358,0.2119205298013245,0.026490066225165563,0.019867549668874173,0.7417218543046358,0.9375,1.0,1.0,1.0,8,0.5,2,1.0,9,0.0,1,0.0,0
0.5,7.178807947019868,7.0625,647.8538395410673,1.543558035726684,2.59983144848552,13.461468892804376,0.9668874172185431,0.09090909090909091,0.10264900662251653,0.1456953642384106,0.8543046357615894,0.13245033112582782,0.0,0.013245033112582781,0.8543046357615894,0.9,0.0,1.0,1.0,9,0.6666666666666666,3,1.0,9,0.0,1,0.0,0
0.6,7.443708609271523,7.008928571428571,643.4515809157372,1.5541184910554355,2.5896548151180445,13.325171161605555,0.9801324503311258,0.125,0.06953642384105962,0.10596026490066225,0.8940397350993378,0.07947019867549669,0.013245033112582781,0.013245033112582781,0.8940397350993378,0.8333333333333334,1.0,1.0,0.0,0,0.8333333333333334,6,1.0,9,0.0,1,0.0,0
0.7,7.602649006622516,7.285714285714286,652.9491475671263,1.5315128348447615,2.584972766850958,13.262927893757745,0.9867549668874173,0.1,0.04966887417218546,0.06622516556291391,0.9337748344370861,0.06622516556291391,0.0,0.0,0.9337748344370861,0.9,0.0,0.0,0.0,0,0.0,0,1.0,9,0.0,1,0.0,0
0.8,7.960264900662252,7.732142857142857,663.0285598591146,1.508230656327214,2.5748569223264983,13.129438494581601,0.9933774834437086,1.0,0.004966887417218513,0.006622516556291391,0.9933774834437086,0.006622516556291391,0.0,0.0,0.9933774834437086,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0
0.9,8.0,7.892857142857143,619.8011960826544,1.6134205714999033,2.580436687595797,13.202902444696983,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
0.95,8.0,7.9375,669.2097293542197,1.4942998527008708,2.580436687595797,13.202902444696983,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
