threshold,avg_layers_per_token,generation_avg_layers_per_token,tokens_sec,ms_token,loss,perplexity,agreement_with_full_model,false_confident_exit_rate,layer_saving_ratio,early_exit_rate,full_path_rate,exit_rate_layer_2,exit_rate_layer_4,exit_rate_layer_6,exit_rate_layer_8,agreement_layer_2_vs_final,agreement_layer_4_vs_final,agreement_layer_6_vs_final,confidence_bin_0.5-0.6_agreement,confidence_bin_0.5-0.6_count,confidence_bin_0.6-0.7_agreement,confidence_bin_0.6-0.7_count,confidence_bin_0.7-0.8_agreement,confidence_bin_0.7-0.8_count,confidence_bin_0.8-0.9_agreement,confidence_bin_0.8-0.9_count,confidence_bin_0.9-1.0_agreement,confidence_bin_0.9-1.0_count
0.1,2.0,2.0267857142857144,1604.9576913087021,0.6230693839565252,2.4349990869989457,11.415808290717179,0.6556291390728477,0.3443708609271523,0.75,1.0,0.0,1.0,0.0,0.0,0.0,0.6556291390728477,0.0,0.0,0.75,8,0.6,10,0.9,10,1.0,2,1.0,1
0.2,3.1258278145695364,3.0267857142857144,643.2413242821839,1.5546264865926267,2.4559979786146555,11.6580622421267,0.6754966887417219,0.35384615384615387,0.609271523178808,0.8609271523178808,0.13907284768211925,0.7350993377483444,0.10596026490066225,0.019867549668874173,0.1390728476821192,0.6486486486486487,0.625,0.6666666666666666,0.75,8,0.6,10,0.9,10,1.0,2,1.0,1
0.3,4.291390728476821,3.9285714285714284,651.775882510091,1.5342697188316379,2.3679739465776657,10.675740736865913,0.7682119205298014,0.29906542056074764,0.4635761589403974,0.7086092715231788,0.29139072847682124,0.5231788079470199,0.09933774834437085,0.08609271523178808,0.2913907284768212,0.7088607594936709,0.5333333333333333,0.8461538461538461,0.8181818181818182,11,0.6,10,0.9090909090909091,11,1.0,2,1.0,1
0.4,5.483443708609271,4.857142857142857,648.1079864640019,1.5429527499821103,2.2441905697449944,9.432777290228056,0.8807947019867549,0.14814814814814814,0.3145695364238411,0.5364238410596026,0.4635761589403974,0.304635761589404,0.11258278145695365,0.11920529801324503,0.46357615894039733,0.782608695652174,1.0,0.8888888888888888,0.8461538461538461,13,0.6923076923076923,13,0.9090909090909091,11,1.0,3,1.0,1
0.5,6.317880794701987,5.633928571428571,648.6110848932012,1.5417559509712322,2.207966343456546,9.097196994180313,0.9337748344370861,0.12962962962962962,0.21026490066225167,0.3576158940397351,0.6423841059602649,0.2052980132450331,0.0728476821192053,0.07947019867549669,0.6423841059602649,0.7741935483870968,1.0,1.0,0.9090909090909091,22,0.7333333333333333,15,0.9090909090909091,11,1.0,5,1.0,1
0.6,6.860927152317881,6.044642857142857,652.8576433075048,1.5317274910557899,2.176107684508065,8.811940568265353,0.9403973509933775,0.1388888888888889,0.14238410596026485,0.23841059602649006,0.7615894039735099,0.152317880794702,0.026490066225165563,0.059602649006622516,0.7615894039735099,0.782608695652174,1.0,1.0,0.0,0,0.7777777777777778,18,0.9166666666666666,12,1.0,5,1.0,1
0.7,7.271523178807947,6.785714285714286,650.4111479342847,1.5374890224068491,2.138755507816542,8.488866724261591,0.9735099337748344,0.043478260869565216,0.09105960264900659,0.152317880794702,0.847682119205298,0.08609271523178808,0.039735099337748346,0.026490066225165563,0.847682119205298,0.9230769230769231,1.0,1.0,0.0,0,0.0,0,0.9375,16,1.0,6,1.0,1
0.8,7.708609271523179,7.044642857142857,651.6937923044792,1.5344629821681468,2.1431190478091207,8.525989167434869,0.9801324503311258,0.0,0.03642384105960261,0.09271523178807947,0.9072847682119205,0.019867549668874173,0.013245033112582781,0.059602649006622516,0.9072847682119205,1.0,1.0,1.0,0.0,0,0.0,0,0.0,0,1.0,9,1.0,5
0.9,7.854304635761589,7.607142857142857,663.5849151310429,1.5069661428372325,2.1373178279952496,8.476671220581853,0.9867549668874173,0.0,0.018211920529801362,0.046357615894039736,0.9536423841059603,0.006622516556291391,0.013245033112582781,0.026490066225165563,0.9536423841059603,1.0,1.0,1.0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,7
0.95,7.973509933774834,7.732142857142857,668.9445962186313,1.494892111622903,2.1347998720131174,8.455354184515345,0.9933774834437086,0.0,0.0033112582781457123,0.013245033112582781,0.9867549668874173,0.0,0.0,0.013245033112582781,0.9867549668874173,0.0,0.0,1.0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,2
